config,query,run_no,planning_ms,execution_ms,root_node,events_scan_node,plan_rows,actual_rows,est_ratio,actual_rows_per_loop,actual_loops,estimated_total_rows,normalized_est_ratio,parallel,events_parallel,workers_planned,workers_launched,shared_hit,root_shared_hit,shared_read,root_shared_read,io_read_ms,root_io_read_ms,temp_written,root_temp_written
c0_none,q1_range_filter,1,0.075,534.373,Gather,Seq Scan,44193,106272,2.4047247301608854,35424,3,106063.2,1.0019686375670356,True,True,2,2,82530,41265,469712,234856,766.912,383.456,0,0
c0_none,q1_range_filter,2,0.072,540.017,Gather,Seq Scan,44193,106272,2.4047247301608854,35424,3,106063.2,1.0019686375670356,True,True,2,2,82722,41361,469520,234760,782.826,391.413,0,0
c0_none,q1_range_filter,3,0.073,538.534,Gather,Seq Scan,44193,106272,2.4047247301608854,35424,3,106063.2,1.0019686375670356,True,True,2,2,82914,41457,469328,234664,771.09,385.545,0,0
c0_none,q1_range_filter,4,0.085,533.761,Gather,Seq Scan,44193,106272,2.4047247301608854,35424,3,106063.2,1.0019686375670356,True,True,2,2,83106,41553,469136,234568,774.022,387.011,0,0
c0_none,q1_range_filter,5,0.077,542.38,Gather,Seq Scan,44193,106272,2.4047247301608854,35424,3,106063.2,1.0019686375670356,True,True,2,2,83298,41649,468944,234472,783.736,391.868,0,0
c0_none,q2_join_aggregate,1,0.333,1160.944,Sort,Seq Scan,1140174,2758035,2.418959737724242,919345,3,2736417.6,1.0078998907184342,True,True,2,2,303383,43168,1639960,234280,2769.172,395.596,0,0
c0_none,q2_join_aggregate,2,0.323,1115.322,Sort,Seq Scan,1140174,2758035,2.418959737724242,919345,3,2736417.6,1.0078998907184342,True,True,2,2,304055,43264,1639288,234184,2731.456,390.208,0,0
c0_none,q2_join_aggregate,3,0.387,1113.169,Sort,Seq Scan,1140174,2758035,2.418959737724242,919345,3,2736417.6,1.0078998907184342,True,True,2,2,304727,43360,1638616,234088,2720.235,388.605,0,0
c0_none,q2_join_aggregate,4,0.239,1110.387,Sort,Seq Scan,1140174,2758035,2.418959737724242,919345,3,2736417.6,1.0078998907184342,True,True,2,2,305399,43456,1637944,233992,2716.973,388.139,0,0
c0_none,q2_join_aggregate,5,0.227,1117.849,Sort,Seq Scan,1140174,2758035,2.418959737724242,919345,3,2736417.6,1.0078998907184342,True,True,2,2,306071,43552,1637272,233896,2739.2259999999997,391.318,0,0
c0_none,q3a_jsonb_common,1,0.179,1300.553,Aggregate,Seq Scan,1390338,3499377,2.5169253807347567,1166459,3,3336811.1999999997,1.048718908639482,True,True,2,2,169668,42417,934816,233704,1546.156,386.539,0,0
c0_none,q3a_jsonb_common,2,0.117,1307.32,Aggregate,Seq Scan,1390338,3499377,2.5169253807347567,1166459,3,3336811.1999999997,1.048718908639482,True,True,2,2,170052,42513,934432,233608,1556.056,389.014,0,0
c0_none,q3a_jsonb_common,3,0.17,1336.935,Aggregate,Seq Scan,1390338,3499377,2.5169253807347567,1166459,3,3336811.1999999997,1.048718908639482,True,True,2,2,170436,42609,934048,233512,1594.608,398.652,0,0
c0_none,q3a_jsonb_common,4,0.178,1304.709,Aggregate,Seq Scan,1390338,3499377,2.5169253807347567,1166459,3,3336811.1999999997,1.048718908639482,True,True,2,2,170820,42705,933664,233416,1539.176,384.794,0,0
c0_none,q3a_jsonb_common,5,0.175,1296.175,Aggregate,Seq Scan,1390338,3499377,2.5169253807347567,1166459,3,3336811.1999999997,1.048718908639482,True,True,2,2,171204,42801,933280,233320,1537.872,384.468,0,0
c0_none,q3b_jsonb_rare,1,0.163,981.69,Aggregate,Seq Scan,413,50097,121.3002421307506,16699,3,991.1999999999999,50.54176755447942,True,True,2,2,171972,42993,932512,233128,1542.74,385.685,0,0
c0_none,q3b_jsonb_rare,2,0.146,984.698,Aggregate,Seq Scan,413,50097,121.3002421307506,16699,3,991.1999999999999,50.54176755447942,True,True,2,2,172356,43089,932128,233032,1544.288,386.072,0,0
c0_none,q3b_jsonb_rare,3,0.162,976.127,Aggregate,Seq Scan,413,50097,121.3002421307506,16699,3,991.1999999999999,50.54176755447942,True,True,2,2,172740,43185,931744,232936,1502.284,375.571,0,0
c0_none,q3b_jsonb_rare,4,0.169,971.792,Aggregate,Seq Scan,413,50097,121.3002421307506,16699,3,991.1999999999999,50.54176755447942,True,True,2,2,173124,43281,931360,232840,1489.336,372.334,0,0
c0_none,q3b_jsonb_rare,5,0.113,974.421,Aggregate,Seq Scan,413,50097,121.3002421307506,16699,3,991.1999999999999,50.54176755447942,True,True,2,2,173508,43377,930976,232744,1516.3,379.075,0,0
c1_btree_ts,q1_range_filter,1,0.151,181.25,Gather,Index Scan,44942,106272,2.3646477682346134,35424,3,107860.8,0.9852699034310889,True,True,2,2,129498,64749,0,0,0.0,0.0,0,0
c1_btree_ts,q1_range_filter,2,0.113,175.963,Gather,Index Scan,44942,106272,2.3646477682346134,35424,3,107860.8,0.9852699034310889,True,True,2,2,129486,64743,0,0,0.0,0.0,0,0
c1_btree_ts,q1_range_filter,3,0.121,177.224,Gather,Index Scan,44942,106272,2.3646477682346134,35424,3,107860.8,0.9852699034310889,True,True,2,2,129452,64726,0,0,0.0,0.0,0,0
c1_btree_ts,q1_range_filter,4,0.229,176.104,Gather,Index Scan,44942,106272,2.3646477682346134,35424,3,107860.8,0.9852699034310889,True,True,2,2,129520,64760,0,0,0.0,0.0,0,0
c1_btree_ts,q1_range_filter,5,0.159,172.02,Gather,Index Scan,44942,106272,2.3646477682346134,35424,3,107860.8,0.9852699034310889,True,True,2,2,129530,64765,0,0,0.0,0.0,0,0
c1_btree_ts,q2_join_aggregate,1,0.364,885.665,Sort,Index Scan,1164677,2758035,2.368068571801452,919345,3,2795224.8,0.9866952382506051,True,True,2,2,761092,108555,5537,791,17.927,2.561,0,0
c1_btree_ts,q2_join_aggregate,2,0.405,864.37,Sort,Index Scan,1164677,2758035,2.368068571801452,919345,3,2795224.8,0.9866952382506051,True,True,2,2,762730,108789,3948,564,16.737000000000002,2.391,0,0
c1_btree_ts,q2_join_aggregate,3,0.339,863.6,Sort,Index Scan,1164677,2758035,2.368068571801452,919345,3,2795224.8,0.9866952382506051,True,True,2,2,763052,108835,3668,524,12.964,1.852,0,0
c1_btree_ts,q2_join_aggregate,4,0.381,859.449,Sort,Index Scan,1164677,2758035,2.368068571801452,919345,3,2795224.8,0.9866952382506051,True,True,2,2,764963,109108,1729,247,8.141,1.163,0,0
c1_btree_ts,q2_join_aggregate,5,0.383,853.54,Sort,Index Scan,1164677,2758035,2.368068571801452,919345,3,2795224.8,0.9866952382506051,True,True,2,2,766762,109365,0,0,0.0,0.0,0,0
c1_btree_ts,q3a_jsonb_common,1,0.176,1316.192,Aggregate,Seq Scan,1682303,3499377,2.080111014484311,1166459,3,4037527.1999999997,0.8667129227017963,True,True,2,2,381136,95284,723348,180837,1275.568,318.892,0,0
c1_btree_ts,q3a_jsonb_common,2,0.183,1281.29,Aggregate,Seq Scan,1682303,3499377,2.080111014484311,1166459,3,4037527.1999999997,0.8667129227017963,True,True,2,2,381520,95380,722964,180741,1202.248,300.562,0,0
c1_btree_ts,q3a_jsonb_common,3,0.162,1280.131,Aggregate,Seq Scan,1682303,3499377,2.080111014484311,1166459,3,4037527.1999999997,0.8667129227017963,True,True,2,2,381904,95476,722580,180645,1203.092,300.773,0,0
c1_btree_ts,q3a_jsonb_common,4,0.164,1282.064,Aggregate,Seq Scan,1682303,3499377,2.080111014484311,1166459,3,4037527.1999999997,0.8667129227017963,True,True,2,2,382288,95572,722196,180549,1196.708,299.177,0,0
c1_btree_ts,q3a_jsonb_common,5,0.165,1299.966,Aggregate,Seq Scan,1682303,3499377,2.080111014484311,1166459,3,4037527.1999999997,0.8667129227017963,True,True,2,2,382672,95668,721812,180453,1236.66,309.165,0,0
c1_btree_ts,q3b_jsonb_rare,1,0.174,959.241,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,383440,95860,721044,180261,1175.808,293.952,0,0
c1_btree_ts,q3b_jsonb_rare,2,0.171,964.859,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,383824,95956,720660,180165,1177.356,294.339,0,0
c1_btree_ts,q3b_jsonb_rare,3,0.162,979.759,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,384208,96052,720276,180069,1164.312,291.078,0,0
c1_btree_ts,q3b_jsonb_rare,4,0.173,960.395,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,384592,96148,719892,179973,1170.604,292.651,0,0
c1_btree_ts,q3b_jsonb_rare,5,0.169,957.23,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,384976,96244,719508,179877,1160.192,290.048,0,0
c2_btree_ts_status,q1_range_filter,1,0.113,99.642,Index Scan,Index Scan,104228,106271,1.019601258778831,106271,1,104228,1.019601258778831,False,False,0,0,53941,53941,0,0,0.0,0.0,0,0
c2_btree_ts_status,q1_range_filter,2,0.146,112.556,Index Scan,Index Scan,104228,106271,1.019601258778831,106271,1,104228,1.019601258778831,False,False,0,0,53941,53941,0,0,0.0,0.0,0,0
c2_btree_ts_status,q1_range_filter,3,0.153,98.6,Index Scan,Index Scan,104228,106271,1.019601258778831,106271,1,104228,1.019601258778831,False,False,0,0,53941,53941,0,0,0.0,0.0,0,0
c2_btree_ts_status,q1_range_filter,4,0.126,100.155,Index Scan,Index Scan,104228,106271,1.019601258778831,106271,1,104228,1.019601258778831,False,False,0,0,53941,53941,0,0,0.0,0.0,0,0
c2_btree_ts_status,q1_range_filter,5,0.117,98.327,Index Scan,Index Scan,104228,106271,1.019601258778831,106271,1,104228,1.019601258778831,False,False,0,0,53941,53941,0,0,0.0,0.0,0,0
c2_btree_ts_status,q2_join_aggregate,1,0.437,803.603,Sort,Index Scan,1149293,2758035,2.399766639142499,919345,3,2758303.1999999997,0.9999027663093747,True,True,2,2,800544,114191,0,0,0.0,0.0,0,0
c2_btree_ts_status,q2_join_aggregate,2,0.452,808.849,Sort,Index Scan,1149293,2758035,2.399766639142499,919345,3,2758303.1999999997,0.9999027663093747,True,True,2,2,800523,114188,0,0,0.0,0.0,0,0
c2_btree_ts_status,q2_join_aggregate,3,0.416,817.355,Sort,Index Scan,1149293,2758035,2.399766639142499,919345,3,2758303.1999999997,0.9999027663093747,True,True,2,2,800474,114181,0,0,0.0,0.0,0,0
c2_btree_ts_status,q2_join_aggregate,4,0.378,828.012,Sort,Index Scan,1149293,2758035,2.399766639142499,919345,3,2758303.1999999997,0.9999027663093747,True,True,2,2,800320,114159,0,0,0.0,0.0,0,0
c2_btree_ts_status,q2_join_aggregate,5,0.288,805.59,Sort,Index Scan,1149293,2758035,2.399766639142499,919345,3,2758303.1999999997,0.9999027663093747,True,True,2,2,800418,114173,0,0,0.0,0.0,0,0
c2_btree_ts_status,q3a_jsonb_common,1,0.135,1374.089,Aggregate,Seq Scan,1594630,3499377,2.1944758345196065,1166459,3,3827112.0,0.914364931049836,True,True,2,2,386256,96564,718228,179557,1308.632,327.158,0,0
c2_btree_ts_status,q3a_jsonb_common,2,0.127,1310.3,Aggregate,Seq Scan,1594630,3499377,2.1944758345196065,1166459,3,3827112.0,0.914364931049836,True,True,2,2,386640,96660,717844,179461,1223.68,305.92,0,0
c2_btree_ts_status,q3a_jsonb_common,3,0.124,1287.154,Aggregate,Seq Scan,1594630,3499377,2.1944758345196065,1166459,3,3827112.0,0.914364931049836,True,True,2,2,387024,96756,717460,179365,1190.372,297.593,0,0
c2_btree_ts_status,q3a_jsonb_common,4,0.129,1287.454,Aggregate,Seq Scan,1594630,3499377,2.1944758345196065,1166459,3,3827112.0,0.914364931049836,True,True,2,2,387408,96852,717076,179269,1194.556,298.639,0,0
c2_btree_ts_status,q3a_jsonb_common,5,0.189,1298.258,Aggregate,Seq Scan,1594630,3499377,2.1944758345196065,1166459,3,3827112.0,0.914364931049836,True,True,2,2,387792,96948,716692,179173,1221.004,305.251,0,0
c2_btree_ts_status,q3b_jsonb_rare,1,0.155,957.647,Aggregate,Seq Scan,415,50097,120.71566265060241,16699,3,996.0,50.29819277108434,True,True,2,2,388560,97140,715924,178981,1154.012,288.503,0,0
c2_btree_ts_status,q3b_jsonb_rare,2,0.15,958.218,Aggregate,Seq Scan,415,50097,120.71566265060241,16699,3,996.0,50.29819277108434,True,True,2,2,388944,97236,715540,178885,1151.296,287.824,0,0
c2_btree_ts_status,q3b_jsonb_rare,3,0.118,953.194,Aggregate,Seq Scan,415,50097,120.71566265060241,16699,3,996.0,50.29819277108434,True,True,2,2,389328,97332,715156,178789,1138.556,284.639,0,0
c2_btree_ts_status,q3b_jsonb_rare,4,0.123,952.019,Aggregate,Seq Scan,415,50097,120.71566265060241,16699,3,996.0,50.29819277108434,True,True,2,2,389712,97428,714772,178693,1139.204,284.801,0,0
c2_btree_ts_status,q3b_jsonb_rare,5,0.132,970.814,Aggregate,Seq Scan,415,50097,120.71566265060241,16699,3,996.0,50.29819277108434,True,True,2,2,390096,97524,714388,178597,1148.036,287.009,0,0
c3_btree_status_ts,q1_range_filter,1,0.152,76.142,Index Scan,Index Scan,106086,106271,1.001743868182418,106271,1,106086,1.001743868182418,False,False,0,0,49801,49801,0,0,0.0,0.0,0,0
c3_btree_status_ts,q1_range_filter,2,0.121,79.92,Index Scan,Index Scan,106086,106271,1.001743868182418,106271,1,106086,1.001743868182418,False,False,0,0,49801,49801,0,0,0.0,0.0,0,0
c3_btree_status_ts,q1_range_filter,3,0.14,88.382,Index Scan,Index Scan,106086,106271,1.001743868182418,106271,1,106086,1.001743868182418,False,False,0,0,49801,49801,0,0,0.0,0.0,0,0
c3_btree_status_ts,q1_range_filter,4,0.12,80.117,Index Scan,Index Scan,106086,106271,1.001743868182418,106271,1,106086,1.001743868182418,False,False,0,0,49801,49801,0,0,0.0,0.0,0,0
c3_btree_status_ts,q1_range_filter,5,0.112,75.032,Index Scan,Index Scan,106086,106271,1.001743868182418,106271,1,106086,1.001743868182418,False,False,0,0,49801,49801,0,0,0.0,0.0,0,0
c3_btree_status_ts,q2_join_aggregate,1,0.365,801.726,Sort,Index Scan,1141498,2758035,2.416154036187536,919345,3,2739595.1999999997,1.0067308484114734,True,True,2,2,770269,109866,0,0,0.0,0.0,0,0
c3_btree_status_ts,q2_join_aggregate,2,0.34,824.707,Sort,Index Scan,1141498,2758035,2.416154036187536,919345,3,2739595.1999999997,1.0067308484114734,True,True,2,2,770458,109893,7,1,0.077,0.011,0,0
c3_btree_status_ts,q2_join_aggregate,3,0.372,794.901,Sort,Index Scan,1141498,2758035,2.416154036187536,919345,3,2739595.1999999997,1.0067308484114734,True,True,2,2,770563,109908,0,0,0.0,0.0,0,0
c3_btree_status_ts,q2_join_aggregate,4,0.434,799.546,Sort,Index Scan,1141498,2758035,2.416154036187536,919345,3,2739595.1999999997,1.0067308484114734,True,True,2,2,770906,109957,0,0,0.0,0.0,0,0
c3_btree_status_ts,q2_join_aggregate,5,0.42,796.138,Sort,Index Scan,1141498,2758035,2.416154036187536,919345,3,2739595.1999999997,1.0067308484114734,True,True,2,2,770507,109900,0,0,0.0,0.0,0,0
c3_btree_status_ts,q3a_jsonb_common,1,0.181,1288.155,Aggregate,Seq Scan,1436438,3499377,2.436149001906104,1166459,3,3447451.1999999997,1.0150620841275433,True,True,2,2,391376,97844,713108,178277,1189.024,297.256,0,0
c3_btree_status_ts,q3a_jsonb_common,2,0.172,1296.324,Aggregate,Seq Scan,1436438,3499377,2.436149001906104,1166459,3,3447451.1999999997,1.0150620841275433,True,True,2,2,391760,97940,712724,178181,1194.376,298.594,0,0
c3_btree_status_ts,q3a_jsonb_common,3,0.19,1291.886,Aggregate,Seq Scan,1436438,3499377,2.436149001906104,1166459,3,3447451.1999999997,1.0150620841275433,True,True,2,2,392144,98036,712340,178085,1175.696,293.924,0,0
